Invoice_ID,PO_ID,Product_ID,Product_Name,Quantity,Unit_Price,Total_Price
INV001,PO093,P6635,Vision-oriented motivating portal,33,272.85,9004.05
INV001,PO093,P2039,Enhanced web-enabled instruction set,55,354.92,19520.6
INV001,PO093,P5577,Assimilated content-based functionalities,99,371.22,36750.78
INV001,PO093,P7380,Organic high-level support,97,425.19,41243.43
INV002,PO009,P7389,Enterprise-wide radical leverage,99,296.18,29321.82
INV002,PO009,P1920,Face-to-face stable service-desk,40,37.59,1503.6
INV002,PO009,P9990,Multi-channeled 6thgeneration groupware,13,102.43,1331.59
INV003,PO073,P6264,Automated fresh-thinking info-mediaries,30,271.65,8149.5
INV003,PO073,P9955,Enhanced real-time budgetary management,49,86.6,4243.4
INV003,PO073,P7219,Realigned multi-tasking installation,1,425.39,425.39
INV004,PO090,P5994,Multi-tiered executive throughput,24,132.03,3168.72
INV004,PO090,P8845,Fully-configurable context-sensitive interface,94,475.22,44670.68
INV004,PO090,P8503,Reverse-engineered composite throughput,63,381.52,24035.76
INV004,PO090,P4069,Customer-focused neutral help-desk,39,383.96,14974.44
INV005,PO071,P9365,Cloned actuating knowledgebase,34,226.61,7704.74
INV006,PO096,P7755,Cross-platform asynchronous ability,1,219.77,219.77
INV006,PO096,P1378,Open-architected bandwidth-monitored framework,24,303.11,7274.64
INV006,PO096,P3080,Adaptive motivating attitude,1,242.31,242.31
INV006,PO096,P8846,Enterprise-wide explicit Graphic Interface,35,435.73,15250.55
INV007,PO047,P1830,Focused 24/7 intranet,43,491.5,21134.5
INV007,PO047,P2922,Enterprise-wide zero-defect focus group,30,237.74,7132.2
INV007,PO047,P1907,Horizontal 24/7 emulation,36,412.18,14838.48
INV008,PO064,P1911,Triple-buffered web-enabled superstructure,37,283.35,10483.95
INV009,PO077,P7464,Extended asynchronous benchmark,87,411.87,35832.69
INV009,PO077,P7623,User-friendly modular adapter,20,43.1,862.0
INV010,PO050,P6660,Organized transitional model,26,189.97,4939.22
INV010,PO050,P7021,Integrated multi-tasking system engine,90,127.43,11468.7
INV010,PO050,P2468,Mandatory content-based customer loyalty,9,81.92,99.43
INV011,PO073,P6264,Automated fresh-thinking info-mediaries,30,271.65,8149.5
INV011,PO073,P9955,Enhanced real-time budgetary management,49,86.6,4243.4
INV011,PO073,P7219,Realigned multi-tasking installation,1,425.39,425.39
INV012,PO_INVALID,P8045,Multi-tiered 24/7 info-mediaries,73,397.79,29038.67
INV013,PO031,P5340,Switchable stable knowledge user,100,264.61,26461.0
INV013,PO031,P7696,Front-line neutral alliance,86,237.39,20415.54
