PO_ID,Product_ID,Product_Name,Quantity,Unit_Price,Total_Price
PO001,P5772,Upgradable executive circuit,42,184.59,7752.78
PO001,P6875,Devolved didactic benchmark,92,100.02,9201.84
PO002,P5116,Organized 5thgeneration benchmark,67,186.83,12517.61
PO002,P4199,Programmable tangible parallelism,79,176.72,13960.88
PO002,P1067,User-friendly high-level encryption,29,495.59,14372.11
PO003,P1304,Virtual bandwidth-monitored strategy,59,288.85,17042.15
PO003,P8995,Assimilated client-server leverage,92,399.14,36720.88
PO003,P8533,Extended intangible archive,60,212.43,12745.8
PO003,P3234,Automated fresh-thinking software,72,335.09,24126.48
PO004,P2168,Re-engineered content-based hardware,7,404.5,2831.5
PO004,P6330,Down-sized foreground array,56,325.58,18232.48
PO004,P7837,Triple-buffered 6thgeneration project,92,287.61,26460.12
PO005,P5366,Business-focused uniform alliance,52,225.51,11726.52
PO005,P1818,Profound foreground budgetary management,59,351.82,20757.38
PO005,P8660,Synergized directional paradigm,51,75.32,3841.32
PO006,P3373,Centralized optimal implementation,94,291.08,27361.52
PO006,P7555,Streamlined local functionalities,14,116.91,1636.74
PO007,P9835,Reduced explicit initiative,64,125.91,8058.24
PO008,P7115,Enhanced maximized moratorium,44,377.32,16602.08
PO008,P1557,Diverse interactive open architecture,3,192.04,576.12
PO008,P5361,User-friendly zero administration approach,78,356.47,27804.66
PO008,P6211,Synchronized context-sensitive flexibility,41,389.3,15961.3
PO009,P7389,Enterprise-wide radical leverage,99,296.18,29321.82
PO009,P1920,Face-to-face stable service-desk,40,37.59,1503.6
PO009,P9990,Multi-channeled 6thgeneration groupware,13,102.43,1331.59
PO010,P5104,Implemented multi-tasking ability,71,304.67,21631.57
PO011,P1574,Enhanced homogeneous help-desk,43,485.8,20889.4
PO012,P6524,Mandatory didactic model,46,334.34,15379.64
PO013,P3122,Centralized zero tolerance synergy,69,227.84,15720.96
PO013,P7335,Customizable 5thgeneration protocol,100,391.22,39122.0
PO013,P9638,Profit-focused modular focus group,93,232.74,21644.82
PO013,P1437,Persevering 24hour product,76,240.16,18252.16
PO013,P8011,Right-sized zero administration leverage,4,86.61,346.44
PO014,P9391,Inverse asymmetric standardization,11,411.87,4530.57
PO014,P3474,Grass-roots regional service-desk,5,431.51,2157.55
PO014,P4085,Adaptive attitude-oriented installation,2,300.04,600.08
PO014,P9083,Optional hybrid monitoring,60,385.23,23113.8
PO014,P3625,Down-sized asynchronous success,94,198.94,18700.36
PO015,P7907,Balanced background customer loyalty,7,486.66,3406.62
PO015,P5289,Automated value-added monitoring,5,164.12,820.6
PO015,P2327,Focused tangible portal,14,318.26,4455.64
PO015,P3312,Front-line real-time installation,19,418.85,7958.15
PO015,P7521,Optional uniform moratorium,77,364.9,28097.3
PO016,P9259,Diverse full-range contingency,68,202.42,13764.56
PO016,P9510,Synergized real-time success,71,438.05,31101.55
PO016,P1175,Team-oriented 6thgeneration adapter,54,413.12,22308.48
PO016,P7942,Multi-channeled value-added paradigm,73,126.42,9228.66
PO016,P5270,Object-based human-resource challenge,99,141.06,13964.94
PO017,P2985,Multi-layered full-range collaboration,77,443.76,34169.52
PO017,P2924,Advanced 24hour firmware,20,158.7,3174.0
PO017,P6154,Team-oriented tertiary support,34,192.43,6542.62
PO017,P7826,Polarized tertiary open system,89,327.8,29174.2
PO018,P5286,Object-based non-volatile customer loyalty,69,492.74,33999.06
PO018,P5150,Persevering tangible customer loyalty,32,30.28,968.96
PO018,P4064,Re-engineered motivating array,93,225.25,20948.25
PO018,P8270,Expanded foreground task-force,97,45.84,4446.48
PO019,P9271,Operative impactful knowledgebase,77,304.46,23443.42
PO019,P4720,Synergistic attitude-oriented policy,93,495.45,46076.85
PO019,P7769,Organic user-facing leverage,55,75.94,4176.7
PO019,P7625,Polarized uniform customer loyalty,37,378.17,13992.29
PO019,P7160,Centralized multi-tasking function,40,438.66,17546.4
PO020,P4164,Open-architected fault-tolerant standardization,96,193.65,18590.4
PO020,P1439,Team-oriented analyzing model,74,448.99,33225.26
PO020,P7355,Re-engineered incremental workforce,67,31.39,2103.13
PO021,P7444,Digitized 3rdgeneration adapter,51,80.96,4128.96
PO021,P1261,Configurable holistic solution,12,427.75,5133.0
PO021,P8257,Mandatory grid-enabled complexity,69,320.1,22086.9
PO021,P3340,Multi-channeled 6thgeneration collaboration,35,351.06,12287.1
PO021,P1832,Sharable human-resource time-frame,52,415.77,21620.04
PO022,P8769,Phased incremental intranet,31,102.32,3171.92
PO022,P5872,Realigned 4thgeneration array,20,420.26,8405.2
PO023,P6478,Universal exuding service-desk,72,345.94,24907.68
PO023,P1062,Polarized stable architecture,42,303.58,12750.36
PO024,P2014,Seamless discrete firmware,41,490.7,20118.7
PO024,P1917,Proactive directional architecture,97,365.09,35413.73
PO025,P9186,Exclusive mission-critical info-mediaries,31,266.97,8276.07
PO025,P6473,Customizable disintermediate superstructure,93,36.01,3348.93
PO026,P6852,Business-focused directional structure,73,63.63,4644.99
PO026,P9313,Self-enabling scalable access,53,261.88,13879.64
PO026,P2884,Organic 24hour implementation,1,35.51,35.51
PO026,P9720,Inverse heuristic hierarchy,19,367.74,6987.06
PO027,P3498,Re-contextualized executive pricing structure,89,358.22,31881.58
PO028,P9044,Up-sized composite challenge,6,36.34,218.04
PO028,P7075,Intuitive bi-directional strategy,53,317.98,16852.94
PO028,P5733,Profound 4thgeneration collaboration,15,434.91,6523.65
PO029,P2226,Advanced bandwidth-monitored success,52,10.07,523.64
PO030,P3835,Progressive bandwidth-monitored structure,32,14.26,456.32
PO030,P7461,Reverse-engineered 24hour system engine,18,86.34,1554.12
PO030,P5781,Grass-roots bi-directional challenge,24,58.22,1397.28
PO031,P5340,Switchable stable knowledge user,100,264.61,26461.0
PO031,P7696,Front-line neutral alliance,86,237.39,20415.54
PO031,P1742,Persevering contextually-based extranet,7,411.37,2879.59
PO031,P2843,Synchronized fault-tolerant policy,27,441.68,11925.36
PO031,P4871,Adaptive contextually-based archive,29,184.34,5345.86
PO032,P1011,Open-source grid-enabled standardization,72,76.39,5500.08
PO033,P5409,Pre-emptive tertiary moderator,74,312.18,23101.32
PO034,P1293,Devolved fault-tolerant standardization,49,160.87,7882.63
PO034,P4956,Future-proofed incremental application,83,87.57,7268.31
PO034,P9921,Visionary modular benchmark,7,240.28,1681.96
PO034,P9375,Public-key heuristic benchmark,20,277.44,5548.8
PO034,P5628,Integrated client-driven task-force,29,131.33,3808.57
PO035,P5664,Sharable holistic paradigm,86,249.1,21422.6
PO035,P1736,Networked multi-state extranet,33,219.85,7255.05
PO035,P5622,Ameliorated logistical Graphic Interface,66,207.62,13702.92
PO035,P6819,Enterprise-wide responsive orchestration,61,253.15,15442.15
PO036,P8059,Distributed contextually-based success,72,376.2,27086.4
PO037,P4339,User-centric user-facing encoding,84,441.65,37098.6
PO037,P9388,Reactive motivating open architecture,91,341.33,31061.03
PO037,P2524,Decentralized even-keeled definition,37,359.57,13304.09
PO037,P8371,Function-based solution-oriented product,55,77.36,4254.8
PO037,P7352,Quality-focused static adapter,80,117.55,9404.0
PO038,P8601,Versatile responsive approach,41,65.92,2702.72
PO038,P6292,Team-oriented leadingedge instruction set,14,472.44,6614.16
PO039,P1608,Inverse holistic utilization,85,172.95,14700.75
PO039,P2931,Focused homogeneous complexity,93,113.93,10595.49
PO040,P5031,Universal mission-critical framework,69,359.85,24829.65
PO041,P3373,Function-based incremental orchestration,79,13.49,1065.71
PO041,P2360,Universal context-sensitive installation,77,209.42,16125.34
PO041,P6321,Face-to-face actuating workforce,32,492.24,15751.68
PO041,P1682,Adaptive foreground projection,8,439.68,3517.44
PO041,P2040,Decentralized well-modulated time-frame,67,329.42,22071.14
PO042,P1839,Fundamental system-worthy capacity,100,453.48,45348.0
PO042,P2936,Team-oriented actuating groupware,48,324.12,15557.76
PO042,P1512,Public-key eco-centric focus group,68,240.1,16326.8
PO043,P7824,Business-focused heuristic ability,67,296.7,19878.9
PO043,P7489,Integrated clear-thinking support,43,316.85,13624.55
PO043,P9729,De-engineered stable open architecture,77,59.71,4597.67
PO044,P4336,Multi-channeled value-added data-warehouse,90,249.03,22412.7
PO044,P5774,Proactive upward-trending hardware,3,212.21,636.63
PO044,P7586,Public-key hybrid data-warehouse,50,50.79,2539.5
PO044,P2612,Face-to-face web-enabled encryption,89,215.82,19207.98
PO045,P4967,Advanced local open system,65,183.16,11905.4
PO046,P9493,Sharable modular initiative,95,125.78,11949.1
PO046,P9256,Synchronized logistical matrices,13,61.69,801.97
PO046,P9535,Profound cohesive core,28,167.47,4689.16
PO046,P8045,Multi-tiered 24/7 info-mediaries,73,397.79,29038.67
PO046,P9739,Open-architected neutral system engine,61,276.07,16840.27
PO047,P1830,Focused 24/7 intranet,43,491.5,21134.5
PO047,P2922,Enterprise-wide zero-defect focus group,30,237.74,7132.2
PO047,P1907,Horizontal 24/7 emulation,36,412.18,14838.48
PO048,P4783,Intuitive intermediate software,79,156.05,12327.95
PO048,P8541,Universal neutral architecture,8,334.63,2677.04
PO048,P9680,Seamless didactic approach,28,198.25,5551.0
PO048,P4419,Re-contextualized stable hub,52,305.63,15892.76
PO048,P7594,Switchable national time-frame,51,161.26,8224.26
PO049,P6945,Automated object-oriented database,51,256.06,13059.06
PO050,P6660,Organized transitional model,26,189.97,4939.22
PO050,P5154,Adaptive global middleware,67,167.27,11207.09
PO050,P1441,Robust foreground productivity,10,274.52,2745.2
PO050,P7021,Integrated multi-tasking system engine,90,127.43,11468.7
PO051,P4652,Inverse heuristic policy,2,356.67,713.34
PO051,P3318,Innovative zero tolerance toolset,81,223.77,18125.37
PO051,P4890,Profit-focused explicit task-force,14,292.73,4098.22
PO051,P3541,Extended contextually-based framework,43,302.87,13023.41
PO051,P1660,Cross-platform full-range Local Area Network,14,148.16,2074.24
PO052,P9561,Persistent upward-trending groupware,38,264.4,10047.2
PO052,P8880,Optimized empowering process improvement,58,21.42,1242.36
PO053,P9284,Stand-alone value-added process improvement,44,362.84,15964.96
PO053,P8695,Right-sized context-sensitive array,70,494.47,34612.9
PO053,P4996,Cross-platform real-time methodology,33,285.89,9434.37
PO053,P5729,Switchable full-range algorithm,62,222.02,13765.24
PO053,P3623,Configurable local system engine,81,276.35,22384.35
PO054,P7473,Advanced foreground process improvement,37,132.32,4895.84
PO055,P6579,Grass-roots global capacity,54,276.84,14949.36
PO055,P5869,Implemented analyzing encoding,39,205.62,8019.18
PO056,P4533,Public-key scalable collaboration,5,460.12,2300.6
PO056,P7392,Customizable maximized support,81,228.26,18489.06
PO057,P8246,Object-based dynamic neural-net,46,496.89,22856.94
PO057,P5206,Polarized bi-directional Graphical User Interface,35,284.83,9969.05
PO057,P2825,Vision-oriented systemic toolset,37,69.89,2585.93
PO058,P2406,Robust modular definition,73,396.95,28977.35
PO059,P8732,User-centric mission-critical portal,15,308.67,4630.05
PO059,P8544,Upgradable optimal moderator,51,136.82,6977.82
PO059,P8492,Streamlined 6thgeneration definition,35,475.26,16634.1
PO059,P6614,Networked well-modulated artificial intelligence,42,450.71,18929.82
PO060,P8396,Assimilated mobile instruction set,14,209.79,2937.06
PO060,P8443,Multi-layered dedicated website,13,413.93,5381.09
PO060,P7878,De-engineered zero administration throughput,62,362.68,22486.16
PO061,P3641,Public-key asynchronous instruction set,98,373.76,36628.48
